age,Position,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
24,Defender,74,64,79,69,69,58,63,14,11,13,2,36,0,1,0,1,0,0,0,0,18,0,88,28,6,1,5,6,3,0,3,0,0,42,0,0,1,0,0,0,0,0,0,0,0,0
27,Forward,66,35,76,21,82,59,12,15,5,15,4,29,0,0,0,0,0,1,0,1,0,0,111,26,7,11,2,0,3,0,11,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
28,Goalkeeper,20,13,11,20,11,25,11,68,72,3,3,35,0,0,0,1,0,0,0,0,5,0,22,6,29,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
26,Midfielder,59,60,74,23,70,61,23,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,Midfielder,72,72,68,40,52,64,48,11,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,Goalkeeper,28,36,21,19,10,31,18,61,67,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,Midfielder,77,77,80,70,72,75,54,5,5,39,13,10,1,1,0,3,0,4,0,0,0,0,21,14,3,0,0,0,4,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
36,Defender,61,60,63,62,29,45,60,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,Forward,65,39,68,21,63,60,18,6,11,27,6,15,1,1,0,1,0,6,0,0,0,0,21,1,11,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,Midfielder,66,66,68,65,62,55,62,12,7,58,30,3,1,1,0,11,0,4,0,0,0,0,45,24,10,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Defender,59,48,61,53,55,43,61,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Midfielder,77,74,74,58,62,71,59,8,7,5,1,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,Defender,78,64,82,73,66,70,68,7,24,40,5,5,2,2,3,0,0,0,0,0,3,0,23,5,12,0,1,1,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
30,Forward,70,65,73,37,66,67,30,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,Defender,70,58,68,77,26,40,74,15,16,49,20,16,0,1,7,7,0,0,0,0,34,0,58,31,3,2,0,5,10,0,2,0,0,47,1,0,0,0,0,0,0,0,0,1,0,0
32,Midfielder,71,69,67,79,56,70,70,10,13,18,6,17,1,0,0,1,0,1,0,0,0,0,52,20,18,2,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,Midfielder,82,72,87,40,81,85,24,11,6,178,37,0,16,10,0,6,0,19,0,0,0,0,116,33,1,7,7,0,4,1,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,Midfielder,78,74,80,28,76,73,34,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,Goalkeeper,29,25,17,20,11,28,18,75,70,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,Defender,73,77,75,80,69,76,74,15,6,81,27,11,1,1,8,6,0,0,0,0,28,1,105,25,10,3,4,10,3,0,2,0,1,33,0,0,0,0,0,0,0,1,0,0,0,0
22,Forward,64,43,71,14,77,65,14,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,103,22,14,9,4,0,4,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
